"yellow",*
"orange",*
"Dorada",*
5.773903,-74.674866
5.771918,-74.672978
5.770893,-74.671991
5.769954,-74.670553
5.769634,-74.669909
5.769452,-74.668922
5.769666,-74.667807
5.769778,-74.667447
5.770242,-74.666557
5.770637,-74.665908
5.771192,-74.665017
5.771470,-74.664701
5.771950,-74.664116
5.772606,-74.663306
5.773188,-74.662566
5.773514,-74.661981
5.773909,-74.661294
5.773994,-74.661155
5.774336,-74.660189
5.774677,-74.659079
5.774939,-74.658220
5.775254,-74.657577
5.775259,-74.657550
5.775200,-74.657555
5.774992,-74.657561
5.774864,-74.657577
5.774405,-74.657598
5.773909,-74.657646
5.773412,-74.657689
5.773065,-74.657732
5.770872,-74.657711
5.768865,-74.657582
5.768006,-74.657507
5.766965,-74.657480
5.765791,-74.657453
5.765193,-74.657443
5.764083,-74.657475
5.763394,-74.657496
5.762097,-74.657679
5.761121,-74.657829
5.760293,-74.658049
5.758762,-74.658462
5.757390,-74.658778
5.756685,-74.658939
5.756050,-74.659009
5.754791,-74.659175
5.753040,-74.659256
5.751380,-74.659331
5.750633,-74.659481
5.749725,-74.659663
5.749010,-74.659814
5.747110,-74.660323
5.745722,-74.660747
5.744073,-74.661289
5.742893,-74.661707
5.742664,-74.661793
5.742349,-74.661836
5.740796,-74.662099
5.739232,-74.662356
5.738250,-74.662415
5.736649,-74.662507
5.735949,-74.662555
5.733894,-74.662308
5.732934,-74.662185
5.732421,-74.662061
5.730836,-74.661654
5.730142,-74.661503
5.730003,-74.661439
5.728439,-74.660747
5.727927,-74.660506
5.726555,-74.659508
5.725984,-74.659089
5.724468,-74.657394
5.724324,-74.657239
5.724233,-74.657126
5.723865,-74.656504
5.723518,-74.655930
5.723198,-74.654739
5.722968,-74.653763
5.722664,-74.652185
5.722552,-74.651638
5.722002,-74.650270
5.721538,-74.649117
5.721036,-74.648189
5.720358,-74.646955
5.720182,-74.646623
5.718981,-74.645121
5.718613,-74.644638
5.716579,-74.643087
5.715746,-74.642508
5.715047,-74.642036
5.714134,-74.641446
5.713750,-74.641204
5.713339,-74.640985
5.713035,-74.640813
5.712602,-74.640566
5.711428,-74.639922
5.710232,-74.639300
5.709432,-74.638871
5.707878,-74.637921
5.707734,-74.637820
5.707649,-74.637771
5.706597,-74.636484
5.706416,-74.636280
5.706277,-74.636033
5.705701,-74.634933
5.705065,-74.633673
5.704532,-74.632616
5.704083,-74.631774
5.703485,-74.630588
5.703234,-74.630068
5.703026,-74.629821
5.702012,-74.628453
5.701542,-74.627842
5.700912,-74.627042
5.700539,-74.626527
5.699941,-74.625803
5.699140,-74.624827
5.698969,-74.624607
5.698895,-74.624564
5.697902,-74.623920
5.697454,-74.623652
5.697096,-74.623534
5.696621,-74.623373
5.696482,-74.623357
5.694737,-74.623523
5.694171,-74.623577
5.693055,-74.623550
5.691571,-74.623507
5.690317,-74.623448
5.690173,-74.623432
5.689665,-74.623491
5.688443,-74.623598
5.687311,-74.623706
5.687162,-74.623727
5.686527,-74.623915
5.685614,-74.624189
5.684408,-74.624543
5.684274,-74.624586
5.684237,-74.624607
5.681151,-74.626195
5.679731,-74.626957
5.676945,-74.628512
5.675226,-74.629424
5.674126,-74.630009
5.673635,-74.630250
5.671681,-74.631060
5.671420,-74.631168
5.671238,-74.631227
5.670043,-74.631570
5.669034,-74.631833
5.667870,-74.632214
5.667299,-74.632380
5.666642,-74.632600
5.666060,-74.632868
5.665441,-74.633147
5.664331,-74.633673
5.663717,-74.634005
5.662655,-74.634590
5.662452,-74.634714
5.662163,-74.634880
5.661400,-74.635159
5.660637,-74.635438
5.660023,-74.635642
5.659596,-74.635738
5.659073,-74.635851
5.658459,-74.635899
5.657893,-74.635958
5.657220,-74.635915
5.656558,-74.635835
5.656350,-74.635819
5.655704,-74.635572
5.654706,-74.635137
5.653419,-74.634638
5.652293,-74.634182
5.651615,-74.633887
5.650745,-74.633582
5.650067,-74.633319
5.649389,-74.633163
5.648914,-74.633056
5.648642,-74.633034
5.648129,-74.632965
5.647451,-74.632922
5.646634,-74.632895
5.646026,-74.632874
5.645513,-74.632857
5.644798,-74.632847
5.643960,-74.632836
5.643415,-74.632815
5.642604,-74.632761
5.641947,-74.632713
5.641600,-74.632680
5.641371,-74.632654
5.640511,-74.632536
5.639977,-74.632471
5.639289,-74.632380
5.639187,-74.632375
5.639102,-74.632337
5.638974,-74.632294
5.638050,-74.631988
5.637570,-74.631827
5.637410,-74.631774
5.636886,-74.631490
5.636086,-74.631071
5.635573,-74.630814
5.635231,-74.630669
5.634196,-74.630304
5.633838,-74.630154
5.633197,-74.629971
5.632450,-74.629762
5.632146,-74.629725
5.631660,-74.629682
5.631281,-74.629650
5.631078,-74.629666
5.630704,-74.629741
5.630133,-74.629837
5.630085,-74.629843
5.629551,-74.630111
5.628852,-74.630470
5.627960,-74.631334
5.627693,-74.631608
5.626839,-74.632772
5.626380,-74.633367
5.626295,-74.633507
5.626193,-74.633592
5.626103,-74.633726
5.625841,-74.634011
5.625163,-74.634794
5.624730,-74.635288
5.624533,-74.635507
5.624063,-74.635953
5.623540,-74.636419
5.623444,-74.636537
5.623156,-74.636806
5.623033,-74.636902
5.622408,-74.637278
5.621746,-74.637685
5.621410,-74.637830
5.620775,-74.638104
5.620305,-74.638318
5.619504,-74.638538
5.618618,-74.638796
5.617849,-74.639053
5.617337,-74.639230
5.616632,-74.639611
5.615404,-74.640276
5.614432,-74.640850
5.613423,-74.641553
5.612227,-74.642411
5.611715,-74.642782
5.610743,-74.643790
5.610396,-74.644133
5.609659,-74.644589
5.609158,-74.644745
5.608811,-74.644852
5.608586,-74.644901
5.607775,-74.644986
5.607396,-74.645024
5.606034,-74.644965
5.605885,-74.644949
5.605159,-74.644783
5.604209,-74.644579
5.603194,-74.644150
5.602409,-74.643795
5.601165,-74.643152
5.600226,-74.642674
5.598768,-74.642299
5.597578,-74.642165
5.597231,-74.642133
5.596243,-74.642186
5.595037,-74.642251
5.594898,-74.642240
5.594268,-74.642395
5.593237,-74.642642
5.593045,-74.642680
5.591459,-74.643356
5.590952,-74.643608
5.590392,-74.643908
5.589324,-74.644504
5.589094,-74.644638
5.589004,-74.644691
5.588059,-74.645399
5.587722,-74.645668
5.587621,-74.645743
5.586884,-74.646526
5.585966,-74.647486
5.585555,-74.647894
5.585448,-74.648007
5.585357,-74.648082
5.585234,-74.648178
5.584327,-74.648790
