"red",*
"red",*
"Aguadas",*
5.71770095825201,-75.5753021240234
5.71649980545044,-75.572998046875
5.71360111236578,-75.5665969848633
5.70779991149902,-75.5632019042968
5.70030021667475,-75.5619964599609
5.69169998168945,-75.559097290039
5.68699884414673,-75.5510025024413
5.68179988861094,-75.5429992675781
5.67309999465942,-75.5372009277344
5.67129993438721,-75.5257034301758
5.6683988571167,-75.5140991210936
5.66020107269293,-75.5077972412109
5.66249990463268,-75.4985961914061
5.66590118408208,-75.4847030639648
5.67679882049561,-75.4698028564453
5.68310117721563,-75.4559020996093
5.68720102310191,-75.4535980224609
5.68710088729864,-75.4414978027344
5.68359994888317,-75.4339981079101
5.68359994888317,-75.4259033203125
5.67720079421997,-75.4196014404296
5.66850090026855,-75.4121017456055
5.66440105438232,-75.4051971435546
5.6592001914978,-75.396499633789
5.65339994430536,-75.3936004638672
5.65110015869152,-75.3930969238281
5.63440084457403,-75.3993988037109
5.62050008773815,-75.4028015136718
5.60550117492681,-75.4092025756834
5.59970092773438,-75.4017028808594
5.60140085220331,-75.3925018310546
5.60140085220331,-75.3861007690429
5.5978999137879,-75.3768997192383
5.59499883651739,-75.3740005493163
5.58690118789679,-75.3740005493163
5.57480096817011,-75.3751983642578
5.56840181350708,-75.3704986572266
5.55509996414179,-75.3675994873046
5.53319978713995,-75.3665008544922
5.51690006256104,-75.3537979125975
5.50250005722052,-75.3508987426758
5.49780082702637,-75.3497009277343
5.48509883880621,-75.3497009277343
5.47469902038574,-75.3473968505859
5.46430015563976,-75.3440017700195
5.45800018310553,-75.3398971557617
5.45390176773077,-75.3444976806641
5.45219993591309,-75.3503036499023
5.4394998550415,-75.3519973754883
5.43550109863287,-75.3607025146484
5.43039989471436,-75.371597290039
5.42520093917841,-75.3785018920897
5.41830015182495,-75.3889007568359
5.41719913482672,-75.398696899414
5.42010021209717,-75.4045028686523
5.42469978332525,-75.4096984863281
5.43230104446417,-75.4113998413084
5.4438009262085,-75.4107971191406
5.46170091629028,-75.4085006713867
5.47499990463268,-75.4067993164061
5.48369979858404,-75.4096984863281
5.494700908661,-75.427001953125
5.50810003280651,-75.4449005126953
5.51560115814215,-75.4546966552733
5.5444998741151,-75.4667968749999
5.56129980087292,-75.4783020019531
5.57979917526245,-75.4794998168945
5.58160018920893,-75.4852981567382
5.56780004501354,-75.5008010864258
5.57249879837042,-75.5147018432617
5.56910085678101,-75.5279006958008
5.55820178985596,-75.5468978881834
5.5513010025025,-75.5585021972656
5.54499912261969,-75.5653991699218
5.53469991683971,-75.588996887207
5.52489995956415,-75.6016998291016
5.51570081710821,-75.6063003540038
5.5150990486145,-75.6143035888672
5.52260017395031,-75.6155014038085
5.53129911422741,-75.6166992187499
5.54290008544928,-75.6166992187499
5.55610084533697,-75.6155014038085
5.57410192489618,-75.6173019409179
5.59779977798462,-75.6265029907227
5.60010004043585,-75.6265029907227
5.6168007850647,-75.6219024658203
5.63650178909302,-75.6195983886719
5.65150117874157,-75.6241989135742
5.66590118408208,-75.6270980834959
5.67170095443726,-75.6231002807617
5.67980098724371,-75.6173019409179
5.68839979171747,-75.6184997558594
5.70120000839233,-75.6224975585938
5.71729993820195,-75.6259994506835
5.73070096969603,-75.629997253418
5.72660112380981,-75.6184997558594
5.72529888153082,-75.6046981811523
5.72130012512213,-75.5925979614257
5.71719884872437,-75.5821990966796
5.71770095825201,-75.5753021240234
